source,label,pair,corr_raw_gate,corr_new_gate,delta_corr_gate,rmse_raw_gate,rmse_new_gate,delta_rmse_gate,mae_raw_gate,mae_new_gate,delta_mae_gate,snr_thr_p,snr_mean,pass_rate,n_pass,n_windows,time_s,fig
PIV_E,E_camera_3_frame_00036_00037,E_camera_3_frame_00036.tif+E_camera_3_frame_00037.tif,0.019214815495371126,0.0008487047940816542,-0.018366110701289472,49.31479667518453,36.96931412838584,12.345482546798692,41.311097952663864,28.801992413595602,12.509105539068262,1.430689291902949,inf,94.96695475343162,1868,1967,293.78358760000265,E_camera_3_frame_00036_00037_result.png
PIV_E,E_camera_3_frame_00037_00038,E_camera_3_frame_00037.tif+E_camera_3_frame_00038.tif,0.012298430734813952,0.0173516444443505,0.005053213709536548,48.13193409576097,37.652625501924355,10.479308593836613,39.81345684949187,29.17579946935501,10.637657380136861,1.3954096769596538,inf,94.89204844655082,1802,1899,293.37989150000794,E_camera_3_frame_00037_00038_result.png
PIV_E,E_camera_3_frame_00038_00039,E_camera_3_frame_00038.tif+E_camera_3_frame_00039.tif,0.014696656487948052,0.0033019203648329515,-0.0113947361231151,50.32278978470867,35.17793469893342,15.144855085775248,42.28434225648993,27.179648533773083,15.104693722716846,1.3506500111793076,inf,94.29175475687103,1784,1892,300.2089653000003,E_camera_3_frame_00038_00039_result.png
PIV_E,E_camera_3_frame_00039_00040,E_camera_3_frame_00039.tif+E_camera_3_frame_00040.tif,0.03655239774964123,0.03497830922958904,-0.00157408852005219,51.31464982602727,39.43781190770419,11.876837918323083,43.2005682428132,30.840565980132446,12.360002262680752,1.4107984898647965,inf,93.7753036437247,1853,1976,306.3835734000022,E_camera_3_frame_00039_00040_result.png
PIV_E,E_camera_3_frame_00040_00041,E_camera_3_frame_00040.tif+E_camera_3_frame_00041.tif,0.03570753774397217,0.02949094032653857,-0.006216597417433602,49.86331834920827,38.231430523696055,11.631887825512216,41.75330560695737,30.33458160363973,11.418724003317639,1.471852923298769,inf,92.98423995932893,1829,1967,303.8547322999948,E_camera_3_frame_00040_00041_result.png
PIV_E,E_camera_3_frame_00041_00042,E_camera_3_frame_00041.tif+E_camera_3_frame_00042.tif,0.00032677196616558873,0.030674347018370827,0.03034757505220524,49.11554905852284,37.61655909510364,11.498989963419199,41.5131257495308,29.825452056739334,11.687673692791467,1.3824677323198316,2.3725088977458935,95.10783798001052,1808,1901,303.47513579999213,E_camera_3_frame_00041_00042_result.png
PIV_E,E_camera_3_frame_00042_00043,E_camera_3_frame_00042.tif+E_camera_3_frame_00043.tif,0.0010964149045284695,0.025066524141326648,0.023970109236798178,50.88392486329233,39.41975892098196,11.464165942310366,42.45424344064521,30.836524944837006,11.617718495808202,1.4382355261494457,inf,93.73394966615305,1825,1947,312.38765910000075,E_camera_3_frame_00042_00043_result.png
PIV_E,E_camera_3_frame_00043_00044,E_camera_3_frame_00043.tif+E_camera_3_frame_00044.tif,0.011016379215310066,0.015171533373181667,0.004155154157871601,51.0145279477147,40.438357260944215,10.576170686770482,43.460902404474695,32.40309196104399,11.057810443430704,1.4829217484900037,inf,94.80846774193549,1881,1984,312.09393600000476,E_camera_3_frame_00043_00044_result.png
PIV_E,E_camera_3_frame_00044_00045,E_camera_3_frame_00044.tif+E_camera_3_frame_00045.tif,0.0007430276883203131,0.018063038453201452,0.017320010764881138,48.76454106232449,36.02263575326796,12.741905309056527,40.330382439382014,27.091444383463013,13.238938055919,1.458405376631362,2.3337040311774815,95.39337474120083,1843,1932,306.2253400000045,E_camera_3_frame_00044_00045_result.png
PIV_E,E_camera_3_frame_00045_00046,E_camera_3_frame_00045.tif+E_camera_3_frame_00046.tif,0.04195468738778082,0.034224489761434294,-0.007730197626346524,50.52123992778159,37.24497946470747,13.276260463074124,42.58461579906979,29.34797838168199,13.236637417387797,1.329682936865916,2.2887630152911673,95.06561679790026,1811,1905,309.7688586000004,E_camera_3_frame_00045_00046_result.png
